Datetime,STEP,U0_A,U0_B,U1_A,U1_B,U2_A,U2_B,U3_A,U3_B,U4_A,U4_B,U5_A,U5_B,U6_A,U6_B,U7_A,U7_B,U8_A,U8_B,U9_A,U9_B,U10_A,U10_B,U11_A,U11_B
2021-07-10 오전 12:00:46,1,29.3,28.9,22.8,22.8,22.8,22.8,26.6,25.8,26,25.5,28.1,27.5,31.3,28.2,27.7,26.6,30.1,28.2,29.9,28.1,29.9,27.7,28.9,28
2021-07-10 오전 1:00:03,30,29.2,28.9,22.8,22.8,22.8,22.8,26.6,25.8,26,25.5,28.1,27.5,31.2,28.2,27.6,26.6,30.1,28.1,29.9,28.1,30,27.8,29,28
2021-07-10 오전 1:02:34,31,29.2,28.9,22.7,22.7,22.7,22.7,26.6,25.8,26,25.5,28.1,27.5,31.2,28.2,27.6,26.6,30.1,28.1,29.9,28.1,30,27.8,29,28
2021-07-10 오전 1:04:37,32,29.2,28.9,22.8,22.8,22.8,22.8,26.6,25.8,26,25.5,28.1,27.5,31.2,28.2,27.6,26.6,30,28.1,29.9,28.1,30,27.8,29,28
2021-07-10 오전 1:06:16,33,29.2,28.9,22.8,22.8,22.8,22.8,26.6,25.8,26,25.5,28.1,27.5,31.2,28.2,27.6,26.6,30.1,28.2,29.9,28.1,30,27.8,29,28
2021-07-10 오전 1:08:34,34,29.2,28.9,22.8,22.8,22.8,22.8,26.6,25.8,26,25.5,28.1,27.5,31.2,28.2,27.6,26.6,30,28.2,29.9,28.1,30,27.8,29,28
2021-07-10 오전 1:10:10,35,29.2,28.9,22.7,22.7,22.7,22.7,26.6,25.8,26,25.5,28.1,27.5,31.2,28.1,27.6,26.6,30.1,28.1,29.9,28.1,30,27.8,29,28
2021-07-10 오전 10:02:05,286,29.2,28.9,22.8,22.8,22.8,22.8,26.6,25.8,26.1,25.6,28.1,27.5,31.2,28.2,27.7,26.6,30.1,28.2,29.9,28.1,30.1,27.9,28.9,27.9
2021-07-10 오전 11:58:49,342,29.2,28.9,22.8,22.8,22.8,22.8,26.7,25.9,26.1,25.6,28.1,27.5,31.2,28.2,27.6,26.6,30,28.1,29.9,28.1,30.1,27.9,29,27.9
2021-07-10 오후 12:01:05,343,29.2,28.9,22.7,22.7,22.7,22.7,26.7,25.9,26,25.6,28.1,27.5,31.2,28.1,27.7,26.6,30,28.1,29.9,28.1,30.1,27.9,28.9,27.9
2021-07-10 오후 10:01:40,368,29.2,28.9,22.7,22.7,22.7,22.7,26.6,25.8,26,25.6,28.1,27.5,31.1,28.2,27.6,26.6,30,28.1,29.9,28.1,30,27.9,28.9,27.9
